                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.2314,                 1.4819,                  1.444,                0.87286,                0.27975,                0.18182,                0.40833,                 0.1606,                0.27975,                0.18182,                0.40797,                0.14708,                 2.0134,                 1.3308,                 3.1455,                 1.0116,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.3132,                 1.7061,                 1.7205,                0.87937,                0.47888,                0.41998,                0.50062,                0.21717,                0.36933,                0.32181,                0.39089,                0.19032,                 1.9346,                 1.4184,                 3.0788,                0.98242,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.2809,                 1.6633,                 1.5645,                0.84068,                0.47888,                0.41998,                0.50062,                0.21717,                0.36933,                0.32181,                0.39089,                0.19032,                 1.9346,                 1.4184,                 3.0788,                0.98242,               0.000614,               0.000614,               0.000614
                     72,                 1.4552,                 1.3523,                 1.7682,                0.82887,                0.58018,                 0.6288,                0.44712,                0.23606,                0.58018,                 0.6288,                0.44677,                0.18397,                 1.7952,                 1.5565,                 2.8783,                0.96628,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.3014,                 1.3255,                 1.4457,                 0.8706,                0.58018,                 0.6288,                0.44712,                0.23606,                0.58018,                 0.6288,                0.44677,                0.18397,                 1.7952,                 1.5565,                 2.8783,                0.96628,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.3772,                 1.2365,                 1.6723,                0.85394,                0.85097,                0.81818,                0.78847,                0.33451,                0.74753,                0.72727,                0.61219,                0.28886,                 1.7319,                 1.5607,                 2.6497,                0.96223,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.2788,                 1.4851,                 1.6505,                0.89062,                0.85097,                0.81818,                0.78847,                0.33451,                0.74753,                0.72727,                0.61219,                0.28886,                 1.7319,                 1.5607,                 2.6497,                0.96223,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.2069,                 1.2883,                 1.3943,                0.84434,                0.94224,                0.81818,                0.81547,                0.37552,                0.94224,                0.81818,                0.81547,                0.31856,                  1.733,                 1.4439,                 2.4297,                0.96636,               0.000515,               0.000515,               0.000515
                     77,                   1.27,                 1.2771,                 1.5085,                0.84571,                0.94224,                0.81818,                0.81547,                0.37552,                0.94224,                0.81818,                0.81547,                0.31856,                  1.733,                 1.4439,                 2.4297,                0.96636,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.3855,                 1.3071,                 1.3491,                0.88812,                0.95706,                0.81818,                0.81547,                0.36833,                0.95706,                0.81818,                0.81547,                0.33483,                 1.7763,                 1.3644,                 2.2593,                0.96304,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.2007,                 1.1517,                 1.3345,                0.87497,                0.95706,                0.81818,                0.81547,                0.36833,                0.95706,                0.81818,                0.81547,                0.33483,                 1.7763,                 1.3644,                 2.2593,                0.96304,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.2672,                 1.2899,                 1.6373,                0.86654,                0.97361,                0.81818,                0.81547,                0.37433,                0.97361,                0.81818,                0.81547,                0.33706,                 1.8108,                 1.3273,                 2.1594,                  0.963,              0.0004358,              0.0004358,              0.0004358
                     81,                  1.243,                 1.3915,                 1.4455,                0.85373,                0.97361,                0.81818,                0.81547,                0.37433,                0.97361,                0.81818,                0.81547,                0.33706,                 1.8108,                 1.3273,                 2.1594,                  0.963,               0.000416,               0.000416,               0.000416
                     82,                 1.0761,                 1.0036,                 1.2372,                0.86098,                0.97078,                0.81818,                0.81547,                0.38171,                0.97078,                0.81818,                0.81547,                0.37494,                  1.814,                 1.3582,                 2.1296,                0.95937,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.2114,                 1.0749,                 1.4767,                0.94284,                0.97078,                0.81818,                0.81547,                0.38171,                0.97078,                0.81818,                0.81547,                0.37494,                  1.814,                 1.3582,                 2.1296,                0.95937,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.2044,                   1.12,                 1.4968,                0.89695,                0.96924,                0.81818,                0.81547,                0.39899,                0.96924,                0.81818,                0.81547,                0.32902,                 1.7987,                 1.4191,                 2.1362,                0.95727,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.3023,                 1.0725,                 1.4119,                0.88253,                0.96924,                0.81818,                0.81547,                0.39899,                0.96924,                0.81818,                0.81547,                0.32902,                 1.7987,                 1.4191,                 2.1362,                0.95727,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.2373,                 1.0876,                 1.3788,                0.86498,                 0.8099,                0.81818,                0.75247,                0.37096,                 0.8099,                0.81818,                0.75247,                0.30489,                   1.77,                  1.535,                 2.1232,                0.95298,               0.000317,               0.000317,               0.000317
                     87,                 1.3039,                 1.0743,                 1.5219,                0.88485,                 0.8099,                0.81818,                0.75247,                0.37096,                 0.8099,                0.81818,                0.75247,                0.30489,                   1.77,                  1.535,                 2.1232,                0.95298,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.2337,                 1.0237,                 1.4262,                0.85364,                0.80111,                0.81818,                0.72649,                 0.3663,                0.80111,                0.81818,                0.72649,                 0.2787,                 1.7697,                 1.6158,                 2.0708,                0.94819,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.3012,                 1.7156,                 1.4977,                 0.9379,                0.80111,                0.81818,                0.72649,                 0.3663,                0.80111,                0.81818,                0.72649,                 0.2787,                 1.7697,                 1.6158,                 2.0708,                0.94819,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.3889,                 1.2375,                 1.4431,                0.87688,                0.80184,                0.81818,                0.71495,                0.36145,                0.80184,                0.81818,                0.71495,                0.26257,                 1.7941,                 1.6106,                  1.997,                  0.947,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.1118,                  1.094,                 1.4787,                0.91291,                0.80184,                0.81818,                0.71495,                0.36145,                0.80184,                0.81818,                0.71495,                0.26257,                 1.7941,                 1.6106,                  1.997,                  0.947,               0.000218,               0.000218,               0.000218
                     92,                 1.1655,                 1.2437,                  1.505,                0.86182,                0.79525,                0.81818,                0.70537,                0.36632,                0.79525,                0.81818,                0.70502,                0.27499,                 1.8177,                 1.5813,                 1.9188,                 0.9557,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.1399,                 1.2095,                 1.2517,                0.89335,                0.79525,                0.81818,                0.70537,                0.36632,                0.79525,                0.81818,                0.70502,                0.27499,                 1.8177,                 1.5813,                 1.9188,                 0.9557,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.1255,                 1.0571,                 1.4033,                0.88967,                0.79403,                0.81818,                0.71531,                0.36628,                0.79403,                0.81818,                0.71495,                 0.2903,                 1.8195,                 1.5505,                  1.851,                  0.962,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.1659,                 1.0807,                 1.4166,                0.87309,                0.79403,                0.81818,                0.71531,                0.36628,                0.79403,                0.81818,                0.71495,                 0.2903,                 1.8195,                 1.5505,                  1.851,                  0.962,              0.0001388,              0.0001388,              0.0001388
                     96,                  1.074,                 1.2278,                 1.3554,                0.84126,                0.88867,                0.81818,                0.81624,                 0.4151,                0.88867,                0.81818,                0.81547,                0.32463,                 1.8248,                 1.5378,                 1.8008,                 0.9631,               0.000119,               0.000119,               0.000119
                     97,                 1.1697,                0.94796,                 1.4177,                0.85932,                0.88867,                0.81818,                0.81624,                 0.4151,                0.88867,                0.81818,                0.81547,                0.32463,                 1.8248,                 1.5378,                 1.8008,                 0.9631,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.0108,                0.86605,                 1.2865,                0.85428,                0.97909,                0.81818,                0.81638,                0.43081,                0.97909,                0.81818,                0.81547,                0.33929,                 1.8236,                 1.5286,                 1.7828,                0.96019,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.1277,                 1.1492,                 1.3217,                0.88628,                0.97909,                0.81818,                0.81638,                0.43081,                0.97909,                0.81818,                0.81547,                0.33929,                 1.8236,                 1.5286,                 1.7828,                0.96019,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.0378,                0.84664,                 1.2209,                0.89274,                0.97962,                0.81818,                0.81773,                0.43123,                0.97962,                0.81818,                0.81547,                0.34024,                 1.8228,                 1.5213,                 1.7683,                0.95805,               3.98e-05,               3.98e-05,               3.98e-05
